sample	bin_id	mean	relative_abndunce	RPKM
MTS-024	MTS-100_bin.2.strict	0	0	0
MTS-024	MTS-010_bin.15.orig	24.073725	0.41486028	1.1246123
MTS-024	MTS-001_bin.20.orig	0.7973242	0.0137402145	0.038731556
MTS-024	MTS-001_bin.7.orig	9.395899	0.16191867	0.43561164
MTS-024	MTS-090_bin.1.strict	3314.481	57.11815	158.99144
MTS-024	MTS-090_bin.2.orig	0	0	0
MTS-024	MTS-010_bin.1.orig	11.11168	0.19148657	0.5266105
MTS-024	MTS-010_bin.5.strict	0.7627249	0.013143968	0.03773433
MTS-024	MTS-001_bin.13.orig	18.639345	0.32121015	0.87701035
MTS-024	MTS-010_bin.9.strict	0.4738278	0.008165431	0.028385997
MTS-024	MTS-001_bin.19.orig	0	0	0
MTS-024	MTS-001_bin.18.strict	0.22163792	0.0038194659	0.010532711
MTS-024	MTS-020_bin.11.strict	22.102137	0.38088408	1.0533942
MTS-024	MTS-020_bin.6.strict	7.7834096	0.13413079	0.37888393
MTS-024	MTS-001_bin.4.permissive	7.4065204	0.1276359	0.36613104
MTS-024	MTS-090_bin.7.strict	0	0	0
MTS-024	MTS-001_bin.10.orig	4.326479	0.07455782	0.20738497
MTS-024	MTS-001_bin.21.strict	0.38543633	0.006642189	0.0198749
MTS-024	MTS-010_bin.10.strict	0.42049477	0.0072463476	0.022450406
MTS-024	MTS-010_bin.8.permissive	1.9918832	0.03432594	0.09896491
MTS-030	unmapped	NA	0.73720217	NA
MTS-030	MTS-010_bin.12.strict	18.447947	0.456931	1.4259381
MTS-030	MTS-010_bin.11.orig	1.6672705	0.04129607	0.12887304
MTS-030	MTS-010_bin.16.orig	0	0	0
MTS-030	MTS-110_bin.3.permissive	0.24790844	0.0061403615	0.027201645
MTS-030	MTS-001_bin.5.orig	0.27775234	0.006879555	0.021896586
MTS-030	MTS-001_bin.6.orig	0.25710237	0.0063680825	0.020084932
MTS-030	MTS-090_bin.4.strict	0	0	0
MTS-030	MTS-060_bin.2.permissive	172.547	4.273759	13.364566
MTS-030	MTS-001_bin.16.orig	0.31903154	0.007901985	0.025293332
MTS-030	MTS-040_bin.3.orig	114.19438	2.8284426	8.823971
MTS-030	MTS-001_bin.11.strict	11.992909	0.29704836	0.92798465
MTS-030	MTS-001_bin.9.orig	0.43131262	0.010683038	0.033444777
MTS-030	MTS-100_bin.2.strict	0	0	0
MTS-030	MTS-010_bin.15.orig	3.1153584	0.077163264	0.24147423
MTS-030	MTS-001_bin.20.orig	0	0	0
MTS-030	MTS-001_bin.7.orig	0.69965434	0.017329503	0.054275572
MTS-030	MTS-090_bin.1.strict	3676.1125	91.05241	283.33743
MTS-030	MTS-090_bin.2.orig	0	0	0
MTS-030	MTS-010_bin.1.orig	1.117259	0.027673015	0.08702079
MTS-030	MTS-010_bin.5.strict	0	0	0
MTS-030	MTS-001_bin.13.orig	1.0657874	0.026398133	0.08301724
MTS-030	MTS-010_bin.9.strict	0	0	0
MTS-030	MTS-001_bin.19.orig	0	0	0
MTS-030	MTS-001_bin.18.strict	0	0	0
MTS-030	MTS-020_bin.11.strict	1.7518167	0.043390162	0.13715681
MTS-030	MTS-020_bin.6.strict	0.832189	0.020612212	0.06519978
MTS-030	MTS-001_bin.4.permissive	0.96703833	0.02395225	0.075887434
MTS-030	MTS-090_bin.7.strict	0	0	0
MTS-030	MTS-001_bin.10.orig	0.23460229	0.0058107856	0.018423585
MTS-030	MTS-001_bin.21.strict	0	0	0
MTS-030	MTS-010_bin.10.strict	0	0	0
MTS-030	MTS-010_bin.8.permissive	1.3171097	0.03262305	0.1036973
MTS-040	unmapped	NA	0.5372524	NA
MTS-040	MTS-010_bin.12.strict	4.392142	0.174533	0.55647653
MTS-040	MTS-010_bin.11.orig	0.3042635	0.0120906895	0.03851343
MTS-040	MTS-010_bin.16.orig	0	0	0
MTS-040	MTS-110_bin.3.permissive	0	0	0
MTS-040	MTS-001_bin.5.orig	0	0	0
MTS-040	MTS-001_bin.6.orig	0	0	0
MTS-040	MTS-090_bin.4.strict	0	0	0
MTS-040	MTS-060_bin.2.permissive	39.31331	1.562215	4.9948964
MTS-040	MTS-001_bin.16.orig	0	0	0
MTS-040	MTS-040_bin.3.orig	37.235218	1.4796369	4.7116146
MTS-040	MTS-001_bin.11.strict	1.8759097	0.07454408	0.23795713
MTS-040	MTS-001_bin.9.orig	0	0	0
MTS-040	MTS-100_bin.2.strict	0	0	0
MTS-040	MTS-010_bin.15.orig	0.65854716	0.02616906	0.08363807
MTS-040	MTS-001_bin.20.orig	0	0	0
MTS-040	MTS-001_bin.7.orig	0.12198723	0.0048474753	0.0155242365
MTS-040	MTS-090_bin.1.strict	2418.1572	96.09167	305.08258
MTS-040	MTS-090_bin.2.orig	0	0	0
MTS-040	MTS-010_bin.1.orig	0.23422685	0.009307603	0.029843887
MTS-040	MTS-010_bin.5.strict	0	0	0
MTS-040	MTS-001_bin.13.orig	0	0	0
MTS-040	MTS-010_bin.9.strict	0	0	0
MTS-040	MTS-001_bin.19.orig	0	0	0
MTS-040	MTS-001_bin.18.strict	0	0	0
MTS-040	MTS-020_bin.11.strict	0.27810195	0.011051093	0.035824448
MTS-040	MTS-020_bin.6.strict	0	0	0
MTS-040	MTS-001_bin.4.permissive	0	0	0
MTS-040	MTS-090_bin.7.strict	0	0	0
MTS-040	MTS-001_bin.10.orig	0	0	0
MTS-040	MTS-001_bin.21.strict	0	0	0
MTS-040	MTS-010_bin.10.strict	0	0	0
MTS-040	MTS-010_bin.8.permissive	0.41980976	0.016682217	0.054282475
MTS-050	unmapped	NA	0.6471455	NA
MTS-050	MTS-010_bin.12.strict	11.090736	0.29450217	0.9179397
MTS-050	MTS-010_bin.11.orig	0.9768219	0.02593842	0.08083088
MTS-050	MTS-010_bin.16.orig	0	0	0
MTS-050	MTS-110_bin.3.permissive	0	0	0
MTS-050	MTS-001_bin.5.orig	0	0	0
MTS-050	MTS-001_bin.6.orig	0.19396088	0.005150416	0.016279016
MTS-050	MTS-090_bin.4.strict	0	0	0
MTS-050	MTS-060_bin.2.permissive	123.29966	3.2740855	10.186703
MTS-050	MTS-001_bin.16.orig	0	0	0
MTS-050	MTS-040_bin.3.orig	166.60114	4.4239078	13.703668
MTS-050	MTS-001_bin.11.strict	3.3167067	0.08807146	0.27488124
MTS-050	MTS-001_bin.9.orig	0.15569057	0.0041341903	0.012915659
MTS-050	MTS-100_bin.2.strict	0	0	0
MTS-050	MTS-010_bin.15.orig	1.5309421	0.04065247	0.12703693
MTS-050	MTS-001_bin.20.orig	0.20903015	0.0055505633	0.01826865
MTS-050	MTS-001_bin.7.orig	0.25065365	0.0066558295	0.020859227
MTS-050	MTS-090_bin.1.strict	3431.4653	91.118744	281.69553
MTS-050	MTS-090_bin.2.orig	0	0	0
MTS-050	MTS-010_bin.1.orig	0.43674314	0.011597229	0.03650714
MTS-050	MTS-010_bin.5.strict	0	0	0
MTS-050	MTS-001_bin.13.orig	0.31894574	0.00846925	0.026779491
MTS-050	MTS-010_bin.9.strict	0	0	0
MTS-050	MTS-001_bin.19.orig	0	0	0
MTS-050	MTS-001_bin.18.strict	0	0	0
MTS-050	MTS-020_bin.11.strict	0.43275484	0.011491324	0.03675884
MTS-050	MTS-020_bin.6.strict	0.27746168	0.007367687	0.02335475
MTS-050	MTS-001_bin.4.permissive	0	0	0
MTS-050	MTS-090_bin.7.strict	0	0	0
MTS-050	MTS-001_bin.10.orig	0	0	0
MTS-050	MTS-001_bin.21.strict	0	0	0
MTS-050	MTS-010_bin.10.strict	0	0	0
MTS-050	MTS-010_bin.8.permissive	0.99931943	0.026535816	0.0845029
MTS-060	unmapped	NA	0.91176033	NA
MTS-060	MTS-010_bin.12.strict	8.257732	0.21521607	0.66351473
MTS-060	MTS-010_bin.11.orig	0.62659407	0.016330523	0.050223324
MTS-060	MTS-010_bin.16.orig	0	0	0
MTS-060	MTS-110_bin.3.permissive	0.27134266	0.0070718317	0.02836458
MTS-060	MTS-001_bin.5.orig	0	0	0
MTS-060	MTS-001_bin.6.orig	0	0	0
MTS-060	MTS-090_bin.4.strict	37.900517	0.9877771	3.033159
MTS-060	MTS-060_bin.2.permissive	90.35979	2.35499	7.245037
MTS-060	MTS-001_bin.16.orig	0	0	0
MTS-060	MTS-040_bin.3.orig	192.68217	5.021754	15.335049
MTS-060	MTS-001_bin.11.strict	2.0242865	0.052757695	0.16262971
MTS-060	MTS-001_bin.9.orig	0	0	0
MTS-060	MTS-100_bin.2.strict	0	0	0
MTS-060	MTS-010_bin.15.orig	1.0013101	0.026096512	0.08054384
MTS-060	MTS-001_bin.20.orig	0.18639198	0.004857816	0.015759414
MTS-060	MTS-001_bin.7.orig	0.1543593	0.0040229685	0.012461904
MTS-060	MTS-090_bin.1.strict	3465.982	90.331696	275.44153
MTS-060	MTS-090_bin.2.orig	0	0	0
MTS-060	MTS-010_bin.1.orig	0.43858808	0.0114306435	0.03717409
MTS-060	MTS-010_bin.5.strict	0	0	0
MTS-060	MTS-001_bin.13.orig	0.21044965	0.005484816	0.017121436
MTS-060	MTS-010_bin.9.strict	0	0	0
MTS-060	MTS-001_bin.19.orig	0	0	0
MTS-060	MTS-001_bin.18.strict	0	0	0
MTS-060	MTS-020_bin.11.strict	0.4090249	0.010660157	0.033613678
MTS-060	MTS-020_bin.6.strict	0	0	0
MTS-060	MTS-001_bin.4.permissive	0	0	0
MTS-060	MTS-090_bin.7.strict	0	0	0
MTS-060	MTS-001_bin.10.orig	0	0	0
MTS-060	MTS-001_bin.21.strict	0	0	0
MTS-060	MTS-010_bin.10.strict	0	0	0
MTS-060	MTS-010_bin.8.permissive	1.4619209	0.038101118	0.12006864
MTS-070	unmapped	NA	1.0385513	NA
MTS-070	MTS-010_bin.12.strict	0.61672646	0.02030917	0.063723415
MTS-070	MTS-010_bin.11.orig	0	0	0
MTS-070	MTS-010_bin.16.orig	0	0	0
MTS-070	MTS-110_bin.3.permissive	0.22916995	0.0075467043	0.030258337
MTS-070	MTS-001_bin.5.orig	0	0	0
MTS-070	MTS-001_bin.6.orig	0	0	0
MTS-070	MTS-090_bin.4.strict	53.891644	1.7746841	5.386626
MTS-070	MTS-060_bin.2.permissive	34.48232	1.1355234	3.4525425
MTS-070	MTS-001_bin.16.orig	0	0	0
MTS-070	MTS-040_bin.3.orig	161.32706	5.3125963	16.024616
MTS-070	MTS-001_bin.11.strict	0.17074908	0.0056228694	0.018067736
MTS-070	MTS-001_bin.9.orig	0	0	0
MTS-070	MTS-100_bin.2.strict	32.39089	1.0666513	3.211339
MTS-070	MTS-010_bin.15.orig	0	0	0
MTS-070	MTS-001_bin.20.orig	0	0	0
MTS-070	MTS-001_bin.7.orig	0	0	0
MTS-070	MTS-090_bin.1.strict	2714.803	89.400085	269.25473
MTS-070	MTS-090_bin.2.orig	7.0459046	0.23202586	0.7058308
MTS-070	MTS-010_bin.1.orig	0	0	0
MTS-070	MTS-010_bin.5.strict	0	0	0
MTS-070	MTS-001_bin.13.orig	0	0	0
MTS-070	MTS-010_bin.9.strict	0	0	0
MTS-070	MTS-001_bin.19.orig	0	0	0
MTS-070	MTS-001_bin.18.strict	0	0	0
MTS-070	MTS-020_bin.11.strict	0	0	0
MTS-070	MTS-020_bin.6.strict	0	0	0
MTS-070	MTS-001_bin.4.permissive	0	0	0
MTS-070	MTS-090_bin.7.strict	0	0	0
MTS-070	MTS-001_bin.10.orig	0	0	0
MTS-070	MTS-001_bin.21.strict	0	0	0
MTS-070	MTS-010_bin.10.strict	0	0	0
MTS-070	MTS-010_bin.8.permissive	0.19428033	0.0063977675	0.020568643
MTS-080	unmapped	NA	1.1261284	NA
MTS-080	MTS-010_bin.12.strict	0.37039164	0.011116548	0.039998457
MTS-080	MTS-010_bin.11.orig	0	0	0
MTS-080	MTS-010_bin.16.orig	0	0	0
MTS-080	MTS-110_bin.3.permissive	0	0	0
MTS-080	MTS-001_bin.5.orig	0	0	0
MTS-080	MTS-001_bin.6.orig	0	0	0
MTS-080	MTS-090_bin.4.strict	64.1479	1.9252683	5.8207107
MTS-080	MTS-060_bin.2.permissive	38.55228	1.1570679	3.506661
MTS-080	MTS-001_bin.16.orig	0	0	0
MTS-080	MTS-040_bin.3.orig	103.694786	3.1121874	9.363847
MTS-080	MTS-001_bin.11.strict	0	0	0
MTS-080	MTS-001_bin.9.orig	0	0	0
MTS-080	MTS-100_bin.2.strict	165.69987	4.973143	14.916595
MTS-080	MTS-010_bin.15.orig	0	0	0
MTS-080	MTS-001_bin.20.orig	0	0	0
MTS-080	MTS-001_bin.7.orig	0	0	0
MTS-080	MTS-090_bin.1.strict	2877.391	86.35902	259.59863
MTS-080	MTS-090_bin.2.orig	44.516468	1.336071	4.0471096
MTS-080	MTS-010_bin.1.orig	0	0	0
MTS-080	MTS-010_bin.5.strict	0	0	0
MTS-080	MTS-001_bin.13.orig	0	0	0
MTS-080	MTS-010_bin.9.strict	0	0	0
MTS-080	MTS-001_bin.19.orig	0	0	0
MTS-080	MTS-001_bin.18.strict	0	0	0
MTS-080	MTS-020_bin.11.strict	0	0	0
MTS-080	MTS-020_bin.6.strict	0	0	0
MTS-080	MTS-001_bin.4.permissive	0	0	0
MTS-080	MTS-090_bin.7.strict	0	0	0
MTS-080	MTS-001_bin.10.orig	0	0	0
MTS-080	MTS-001_bin.21.strict	0	0	0
MTS-080	MTS-010_bin.10.strict	0	0	0
MTS-080	MTS-010_bin.8.permissive	0	0	0
MTS-090	unmapped	NA	2.2822618	NA
MTS-090	MTS-010_bin.12.strict	0.74029016	0.021252975	0.06267804
MTS-090	MTS-010_bin.11.orig	0	0	0
MTS-090	MTS-010_bin.16.orig	0	0	0
MTS-090	MTS-110_bin.3.permissive	0	0	0
MTS-090	MTS-001_bin.5.orig	0	0	0
MTS-090	MTS-001_bin.6.orig	0	0	0
MTS-090	MTS-090_bin.4.strict	242.68463	6.9672275	18.150038
MTS-090	MTS-060_bin.2.permissive	38.154415	1.0953742	2.8680584
MTS-090	MTS-001_bin.16.orig	0	0	0
MTS-090	MTS-040_bin.3.orig	559.2232	16.054724	41.33807
MTS-090	MTS-001_bin.11.strict	0.20032887	0.005751237	0.017171977
MTS-090	MTS-001_bin.9.orig	0	0	0
MTS-090	MTS-100_bin.2.strict	249.06984	7.1505404	18.420935
MTS-090	MTS-010_bin.15.orig	0	0	0
MTS-090	MTS-001_bin.20.orig	0	0	0
MTS-090	MTS-001_bin.7.orig	0	0	0
MTS-090	MTS-090_bin.1.strict	2197.673	63.092945	161.86713
MTS-090	MTS-090_bin.2.orig	83.89827	2.4086335	6.314964
MTS-090	MTS-010_bin.1.orig	0	0	0
MTS-090	MTS-010_bin.5.strict	0	0	0
MTS-090	MTS-001_bin.13.orig	0	0	0
MTS-090	MTS-010_bin.9.strict	0	0	0
MTS-090	MTS-001_bin.19.orig	0	0	0
MTS-090	MTS-001_bin.18.strict	0	0	0
MTS-090	MTS-020_bin.11.strict	0	0	0
MTS-090	MTS-020_bin.6.strict	0	0	0
MTS-090	MTS-001_bin.4.permissive	0	0	0
MTS-090	MTS-090_bin.7.strict	32.09066	0.92129004	2.3679788
MTS-090	MTS-001_bin.10.orig	0	0	0
MTS-090	MTS-001_bin.21.strict	0	0	0
MTS-090	MTS-010_bin.10.strict	0	0	0
MTS-090	MTS-010_bin.8.permissive	0	0	0
MTS-100	unmapped	NA	1.3744414	NA
MTS-100	MTS-010_bin.12.strict	0.45421404	0.016965529	0.06217802
MTS-100	MTS-010_bin.11.orig	0	0	0
MTS-100	MTS-010_bin.16.orig	0	0	0
MTS-100	MTS-110_bin.3.permissive	2.2192993	0.08289394	0.24570905
MTS-100	MTS-001_bin.5.orig	0	0	0
MTS-100	MTS-001_bin.6.orig	0	0	0
MTS-100	MTS-090_bin.4.strict	57.979923	2.1656313	6.2612853
MTS-100	MTS-060_bin.2.permissive	17.964853	0.6710124	1.9656171
MTS-100	MTS-001_bin.16.orig	0	0	0
MTS-100	MTS-040_bin.3.orig	196.10985	7.3249774	21.044136
MTS-100	MTS-001_bin.11.strict	0	0	0
MTS-100	MTS-001_bin.9.orig	0	0	0
MTS-100	MTS-100_bin.2.strict	265.13687	9.903234	28.380344
MTS-100	MTS-010_bin.15.orig	0	0	0
MTS-100	MTS-001_bin.20.orig	0	0	0
MTS-100	MTS-001_bin.7.orig	0	0	0
MTS-100	MTS-090_bin.1.strict	2021.388	75.50167	216.533
MTS-100	MTS-090_bin.2.orig	52.470802	1.959858	5.673782
MTS-100	MTS-010_bin.1.orig	0	0	0
MTS-100	MTS-010_bin.5.strict	0	0	0
MTS-100	MTS-001_bin.13.orig	0	0	0
MTS-100	MTS-010_bin.9.strict	0	0	0
MTS-100	MTS-001_bin.19.orig	0	0	0
MTS-100	MTS-001_bin.18.strict	0	0	0
MTS-100	MTS-020_bin.11.strict	0	0	0
MTS-100	MTS-020_bin.6.strict	0	0	0
MTS-100	MTS-001_bin.4.permissive	0	0	0
MTS-100	MTS-090_bin.7.strict	26.754574	0.99932075	2.8685255
MTS-100	MTS-001_bin.10.orig	0	0	0
MTS-100	MTS-001_bin.21.strict	0	0	0
MTS-100	MTS-010_bin.10.strict	0	0	0
MTS-100	MTS-010_bin.8.permissive	0	0	0
MTS-110	unmapped	NA	1.1933327	NA
MTS-110	MTS-010_bin.12.strict	0.5537706	0.01714116	0.069376126
MTS-110	MTS-010_bin.11.orig	0	0	0
MTS-110	MTS-010_bin.16.orig	0	0	0
MTS-110	MTS-110_bin.3.permissive	39.936825	1.2361859	3.7757497
MTS-110	MTS-001_bin.5.orig	0	0	0
MTS-110	MTS-001_bin.6.orig	0	0	0
MTS-110	MTS-090_bin.4.strict	39.651646	1.2273587	3.768955
MTS-110	MTS-060_bin.2.permissive	13.515266	0.41834527	1.3040899
MTS-110	MTS-001_bin.16.orig	0	0	0
MTS-110	MTS-040_bin.3.orig	69.76811	2.1595697	6.600493
MTS-110	MTS-001_bin.11.strict	0	0	0
MTS-110	MTS-001_bin.9.orig	0	0	0
MTS-110	MTS-100_bin.2.strict	228.32773	7.067551	21.509872
MTS-110	MTS-010_bin.15.orig	0	0	0
MTS-110	MTS-001_bin.20.orig	0	0	0
MTS-110	MTS-001_bin.7.orig	0	0	0
MTS-110	MTS-090_bin.1.strict	2708.7874	83.84656	255.46149
MTS-110	MTS-090_bin.2.orig	66.165245	2.0480483	6.2949543
MTS-110	MTS-010_bin.1.orig	0	0	0
MTS-110	MTS-010_bin.5.strict	0	0	0
MTS-110	MTS-001_bin.13.orig	0	0	0
MTS-110	MTS-010_bin.9.strict	0	0	0
MTS-110	MTS-001_bin.19.orig	0	0	0
MTS-110	MTS-001_bin.18.strict	0	0	0
MTS-110	MTS-020_bin.11.strict	0	0	0
MTS-110	MTS-020_bin.6.strict	0	0	0
MTS-110	MTS-001_bin.4.permissive	0	0	0
MTS-110	MTS-090_bin.7.strict	25.39019	0.7859162	2.3971412
MTS-110	MTS-001_bin.10.orig	0	0	0
MTS-110	MTS-001_bin.21.strict	0	0	0
MTS-110	MTS-010_bin.10.strict	0	0	0
MTS-110	MTS-010_bin.8.permissive	0	0	0
